sample	samples	DFNA5	_sample_type	_study	_primary_site
TCGA-E2-A1LL-01	TCGA-E2-A1LL-01	12.03	Primary Tumor	TCGA	Breast
TCGA-AR-A5QQ-01	TCGA-AR-A5QQ-01	11.38	Primary Tumor	TCGA	Breast
TCGA-BH-A0E0-01	TCGA-BH-A0E0-01	11.27	Primary Tumor	TCGA	Breast
GTEX-ZEX8-2226-SM-57WC6	GTEX-ZEX8-2226-SM-57WC6	11.1	Normal Tissue	GTEX	Breast
TCGA-BH-A6R9-01	TCGA-BH-A6R9-01	11.1	Primary Tumor	TCGA	Breast
TCGA-AR-A1AO-01	TCGA-AR-A1AO-01	10.9	Primary Tumor	TCGA	Breast
TCGA-AC-A2QH-01	TCGA-AC-A2QH-01	10.77	Primary Tumor	TCGA	Breast
GTEX-T5JW-2026-SM-4DM63	GTEX-T5JW-2026-SM-4DM63	10.66	Normal Tissue	GTEX	Breast
GTEX-12WSK-2226-SM-5GCO5	GTEX-12WSK-2226-SM-5GCO5	10.62	Normal Tissue	GTEX	Breast
TCGA-A7-A13D-01	TCGA-A7-A13D-01	10.47	Primary Tumor	TCGA	Breast
TCGA-E9-A1ND-11	TCGA-E9-A1ND-11	10.37	Solid Tissue Normal	TCGA	Breast
GTEX-ZF2S-2026-SM-5E461	GTEX-ZF2S-2026-SM-5E461	10.36	Normal Tissue	GTEX	Breast
GTEX-XUJ4-1926-SM-4BOOV	GTEX-XUJ4-1926-SM-4BOOV	10.35	Normal Tissue	GTEX	Breast
TCGA-BH-A1FE-06	TCGA-BH-A1FE-06	10.33	Metastatic	TCGA	Breast
GTEX-S33H-0326-SM-4AD6N	GTEX-S33H-0326-SM-4AD6N	10.28	Normal Tissue	GTEX	Breast
GTEX-XBED-1626-SM-47JYN	GTEX-XBED-1626-SM-47JYN	10.27	Normal Tissue	GTEX	Breast
TCGA-A2-A4S1-01	TCGA-A2-A4S1-01	10.26	Primary Tumor	TCGA	Breast
