sample	samples	DFNA5	_sample_type	_study	_primary_site
GTEX-12WSG-1426-SM-5FQUK	GTEX-12WSG-1426-SM-5FQUK	11.17	Normal Tissue	GTEX	Ovary
GTEX-RU1J-0826-SM-46MUU	GTEX-RU1J-0826-SM-46MUU	10.89	Normal Tissue	GTEX	Ovary
GTEX-P4PP-2426-SM-3P61L	GTEX-P4PP-2426-SM-3P61L	10.72	Normal Tissue	GTEX	Ovary
GTEX-T6MO-1126-SM-4DM5D	GTEX-T6MO-1126-SM-4DM5D	10.72	Normal Tissue	GTEX	Ovary
GTEX-131YS-2226-SM-5P9G8	GTEX-131YS-2226-SM-5P9G8	10.68	Normal Tissue	GTEX	Ovary
GTEX-ZC5H-2026-SM-5CVN2	GTEX-ZC5H-2026-SM-5CVN2	10.65	Normal Tissue	GTEX	Ovary
GTEX-PLZ4-2826-SM-3P617	GTEX-PLZ4-2826-SM-3P617	10.64	Normal Tissue	GTEX	Ovary
GTEX-13D11-1126-SM-5KLYS	GTEX-13D11-1126-SM-5KLYS	10.63	Normal Tissue	GTEX	Ovary
GTEX-PWN1-2426-SM-48TDD	GTEX-PWN1-2426-SM-48TDD	10.62	Normal Tissue	GTEX	Ovary
GTEX-11I78-1926-SM-59878	GTEX-11I78-1926-SM-59878	10.56	Normal Tissue	GTEX	Ovary
GTEX-ZP4G-0626-SM-4WWF1	GTEX-ZP4G-0626-SM-4WWF1	10.55	Normal Tissue	GTEX	Ovary
GTEX-UJHI-1226-SM-4IHLR	GTEX-UJHI-1226-SM-4IHLR	10.53	Normal Tissue	GTEX	Ovary
GTEX-11DXX-1426-SM-5GIDU	GTEX-11DXX-1426-SM-5GIDU	10.52	Normal Tissue	GTEX	Ovary
GTEX-1399S-2126-SM-5J2MH	GTEX-1399S-2126-SM-5J2MH	10.47	Normal Tissue	GTEX	Ovary
GTEX-11XUK-1626-SM-5GU5O	GTEX-11XUK-1626-SM-5GU5O	10.45	Normal Tissue	GTEX	Ovary
GTEX-OHPL-2426-SM-48TDN	GTEX-OHPL-2426-SM-48TDN	10.44	Normal Tissue	GTEX	Ovary
GTEX-Y3IK-2026-SM-4YCDG	GTEX-Y3IK-2026-SM-4YCDG	10.41	Normal Tissue	GTEX	Ovary
GTEX-XUZC-1026-SM-4BOPY	GTEX-XUZC-1026-SM-4BOPY	10.4	Normal Tissue	GTEX	Ovary
GTEX-13OVJ-2426-SM-5KM3I	GTEX-13OVJ-2426-SM-5KM3I	10.38	Normal Tissue	GTEX	Ovary
GTEX-WYVS-1526-SM-4OND4	GTEX-WYVS-1526-SM-4OND4	10.37	Normal Tissue	GTEX	Ovary
GTEX-X15G-1726-SM-4PQZN	GTEX-X15G-1726-SM-4PQZN	10.35	Normal Tissue	GTEX	Ovary
GTEX-RWS6-1026-SM-47JXD	GTEX-RWS6-1026-SM-47JXD	10.34	Normal Tissue	GTEX	Ovary
GTEX-11ZTT-1826-SM-5CVLN	GTEX-11ZTT-1826-SM-5CVLN	10.33	Normal Tissue	GTEX	Ovary
GTEX-133LE-1226-SM-5IFGC	GTEX-133LE-1226-SM-5IFGC	10.33	Normal Tissue	GTEX	Ovary
GTEX-13QBU-1526-SM-5LU3W	GTEX-13QBU-1526-SM-5LU3W	10.32	Normal Tissue	GTEX	Ovary
GTEX-146FH-2526-SM-5Q5BP	GTEX-146FH-2526-SM-5Q5BP	10.31	Normal Tissue	GTEX	Ovary
GTEX-PWOO-1726-SM-48TDC	GTEX-PWOO-1726-SM-48TDC	10.3	Normal Tissue	GTEX	Ovary
GTEX-11ZTS-1926-SM-5CVLA	GTEX-11ZTS-1926-SM-5CVLA	10.28	Normal Tissue	GTEX	Ovary
GTEX-12WSB-2226-SM-5GCOS	GTEX-12WSB-2226-SM-5GCOS	10.27	Normal Tissue	GTEX	Ovary
GTEX-13O3O-2726-SM-5KM35	GTEX-13O3O-2726-SM-5KM35	10.25	Normal Tissue	GTEX	Ovary
GTEX-QCQG-1426-SM-48U22	GTEX-QCQG-1426-SM-48U22	10.22	Normal Tissue	GTEX	Ovary
GTEX-TML8-0926-SM-4DXSJ	GTEX-TML8-0926-SM-4DXSJ	10.21	Normal Tissue	GTEX	Ovary
GTEX-13QIC-1526-SM-5IJFL	GTEX-13QIC-1526-SM-5IJFL	10.18	Normal Tissue	GTEX	Ovary
GTEX-14AS3-1326-SM-5RQJE	GTEX-14AS3-1326-SM-5RQJE	10.18	Normal Tissue	GTEX	Ovary
GTEX-XMD3-2326-SM-4AT5H	GTEX-XMD3-2326-SM-4AT5H	10.18	Normal Tissue	GTEX	Ovary
GTEX-T5JW-0426-SM-4DM7M	GTEX-T5JW-0426-SM-4DM7M	10.16	Normal Tissue	GTEX	Ovary
GTEX-WXYG-1426-SM-4ONCK	GTEX-WXYG-1426-SM-4ONCK	10.16	Normal Tissue	GTEX	Ovary
GTEX-Q734-0726-SM-48TZP	GTEX-Q734-0726-SM-48TZP	10.15	Normal Tissue	GTEX	Ovary
GTEX-U3ZN-1026-SM-4DXTC	GTEX-U3ZN-1026-SM-4DXTC	10.15	Normal Tissue	GTEX	Ovary
TCGA-61-2095-01	TCGA-61-2095-01	10.15	Primary Tumor	TCGA	Ovary
GTEX-13PL7-2326-SM-5L3FY	GTEX-13PL7-2326-SM-5L3FY	10.14	Normal Tissue	GTEX	Ovary
GTEX-XV7Q-1426-SM-4BRWA	GTEX-XV7Q-1426-SM-4BRWA	10.13	Normal Tissue	GTEX	Ovary
GTEX-POMQ-1426-SM-3P61D	GTEX-POMQ-1426-SM-3P61D	10.11	Normal Tissue	GTEX	Ovary
GTEX-X4EO-2426-SM-4QASD	GTEX-X4EO-2426-SM-4QASD	10.11	Normal Tissue	GTEX	Ovary
GTEX-13FTX-0926-SM-5IFF7	GTEX-13FTX-0926-SM-5IFF7	10.1	Normal Tissue	GTEX	Ovary
GTEX-P78B-1926-SM-3P616	GTEX-P78B-1926-SM-3P616	10.1	Normal Tissue	GTEX	Ovary
TCGA-5X-AA5U-01	TCGA-5X-AA5U-01	10.1	Primary Tumor	TCGA	Ovary
GTEX-ZYFG-1726-SM-5GZZB	GTEX-ZYFG-1726-SM-5GZZB	10.08	Normal Tissue	GTEX	Ovary
GTEX-11EMC-1726-SM-5H11P	GTEX-11EMC-1726-SM-5H11P	10.07	Normal Tissue	GTEX	Ovary
GTEX-WEY5-0626-SM-4LMIA	GTEX-WEY5-0626-SM-4LMIA	10.07	Normal Tissue	GTEX	Ovary
GTEX-YFC4-2726-SM-5IFJW	GTEX-YFC4-2726-SM-5IFJW	10.06	Normal Tissue	GTEX	Ovary
GTEX-YJ8O-1026-SM-5CVM5	GTEX-YJ8O-1026-SM-5CVM5	10.05	Normal Tissue	GTEX	Ovary
GTEX-13N11-0526-SM-5IJFI	GTEX-13N11-0526-SM-5IJFI	10.04	Normal Tissue	GTEX	Ovary
GTEX-13VXT-1526-SM-5LU3J	GTEX-13VXT-1526-SM-5LU3J	10.04	Normal Tissue	GTEX	Ovary
GTEX-TSE9-2226-SM-4DXUR	GTEX-TSE9-2226-SM-4DXUR	9.977	Normal Tissue	GTEX	Ovary
GTEX-13OVI-0726-SM-5L3DD	GTEX-13OVI-0726-SM-5L3DD	9.969	Normal Tissue	GTEX	Ovary
GTEX-1269C-1826-SM-5N9E1	GTEX-1269C-1826-SM-5N9E1	9.966	Normal Tissue	GTEX	Ovary
GTEX-13W3W-1526-SM-5LU5I	GTEX-13W3W-1526-SM-5LU5I	9.963	Normal Tissue	GTEX	Ovary
