sample	DFNA5 (average)
TCGA-AQ-A04L-01B	2.521
TCGA-E9-A247-01A	1.786
TCGA-A2-A0T3-01A	1.336
TCGA-A2-A0YE-01A	1.253
TCGA-A2-A0CL-01A	1.202
TCGA-EW-A1P0-01A	1.075
TCGA-A8-A06R-01A	0.9352
TCGA-AN-A0FZ-01A	0.9333078066037737
TCGA-A7-A6VW-01A	0.8975
TCGA-A1-A0SO-01A	0.8579
TCGA-D8-A1XR-01A	0.8121
TCGA-B6-A0IB-01A	0.773
TCGA-AR-A0U3-01A	0.7336
TCGA-E9-A1N6-01A	0.7241
TCGA-AC-A5EI-01A	0.7107
TCGA-C8-A27B-01A	0.7042
TCGA-A2-A1FV-01A	0.703
TCGA-A2-A0CW-01A	0.6953
TCGA-E2-A158-01A	0.6924
TCGA-AO-A12G-01A	0.6709
TCGA-AQ-A1H2-01A	0.6696
TCGA-AO-A0J6-01A	0.667
TCGA-UU-A93S-01A	0.6629
TCGA-AN-A0AL-01A	0.6012
TCGA-A2-A0CT-01A	0.5961
TCGA-BH-A1FD-01A	0.5783
TCGA-AC-A3W5-01A	0.5659
TCGA-B6-A0IC-01A	0.5568
TCGA-E9-A1R3-01A	0.543
TCGA-A7-A13G-01A	0.5359
TCGA-BH-A0BP-01A	0.5328
TCGA-BH-A1EX-01A	0.5228
TCGA-AO-A125-01A	0.5227
TCGA-E2-A570-01A	0.5201
TCGA-AN-A0FL-01A	0.5183
TCGA-AN-A0FT-01A	0.5174
TCGA-AN-A0G0-01A	0.5155
TCGA-A8-A09K-01A	0.512
TCGA-S3-AA17-01A	0.5042
TCGA-A2-A0YJ-01A	0.4942
TCGA-A8-A09W-01A	0.4885
TCGA-E9-A1R4-01A	0.488
TCGA-A8-A06X-01A	0.487
TCGA-D8-A1XW-01A	0.4848
TCGA-AR-A0U2-01A	0.4832
TCGA-B6-A0IM-01A	0.4774
TCGA-D8-A1JJ-01A	0.4756
TCGA-A8-A06Z-01A	0.4739
TCGA-D8-A1X9-01A	0.4682
TCGA-BH-A1EN-01A	0.4679
TCGA-A7-A4SF-01A	0.4641
TCGA-AO-A03N-01B	0.4556
TCGA-GI-A2C8-01A	0.4508
TCGA-E2-A574-01A	0.4506
TCGA-BH-A0AY-01A	0.4505
TCGA-AN-A0AJ-01A	0.4478
TCGA-AN-A049-01A	0.4475
TCGA-AC-A2QH-01A	0.444
TCGA-BH-A0EB-01A	0.4439
TCGA-AO-A0JB-01A	0.4437
TCGA-OL-A97C-01A	0.4432
TCGA-EW-A1P3-01A	0.4388
TCGA-A8-A08G-01A	0.4308
TCGA-AO-A124-01A	0.4285
TCGA-GM-A2DB-01A	0.426
TCGA-A2-A1G4-01A	0.4257
TCGA-A2-A1FW-01A	0.4255
TCGA-A7-A0D9-01A	0.4198
TCGA-AR-A24H-01A	0.4193
TCGA-A7-A0CE-01A	0.4183
TCGA-B6-A0RE-01A	0.4131
TCGA-A8-A09A-01A	0.4096
TCGA-LL-A9Q3-01A	0.409
TCGA-E9-A1NF-01A	0.4065
TCGA-E9-A54X-01A	0.4041
TCGA-OL-A5RZ-01A	0.401
TCGA-E9-A3HO-01A	0.3941
TCGA-E9-A295-01A	0.39
TCGA-GM-A2DL-01A	0.3895
TCGA-AO-A03T-01A	0.3883
TCGA-A7-A26F-01A	0.3869
TCGA-AR-A24W-01A	0.3808
TCGA-AC-A6NO-01A	0.3795
TCGA-A2-A0T2-01A	0.3792
TCGA-OL-A66H-01A	0.3752
TCGA-A7-A6VY-01A	0.3717
TCGA-OL-A5RW-01A	0.3711
TCGA-GM-A2DC-01A	0.37
TCGA-A8-A07F-01A	0.3698
TCGA-BH-A0GY-01A	0.3677
TCGA-S3-AA0Z-01A	0.3654
TCGA-A7-A13D-01A	0.3649
TCGA-A8-A0A9-01A	0.3637
TCGA-C8-A26X-01A	0.3559
TCGA-LL-A6FP-01A	0.3547
TCGA-BH-A0H7-01A	0.3517
TCGA-BH-A1EV-01A	0.3513
TCGA-C8-A273-01A	0.349
TCGA-BH-A0HP-01A	0.3485
TCGA-C8-A12P-01A	0.3483
TCGA-AR-A0TR-01A	0.34530000000000005
TCGA-BH-A0DP-01A	0.3419
TCGA-C8-A26Z-01A	0.3415
TCGA-E2-A1IJ-01A	0.3414
TCGA-AO-A0J3-01A	0.3391
TCGA-E9-A1NC-01A	0.3381
TCGA-BH-A0AZ-01A	0.3365
TCGA-A8-A076-01A	0.3357
TCGA-D8-A1JF-01A	0.3352
TCGA-BH-A6R8-01A	0.3345
TCGA-BH-A1FN-01A	0.3342
TCGA-LL-A740-01A	0.3318
TCGA-BH-A0E0-01A	0.327
TCGA-B6-A0I9-01A	0.3262
TCGA-AQ-A1H3-01A	0.3257
TCGA-E9-A24A-01A	0.325
TCGA-3C-AALI-01A	0.3248
TCGA-D8-A1JG-01B	0.3212
