sample	samples	DFNA5 (average)
TCGA-06-0162-01	TCGA-06-0162-01	2.095
TCGA-12-3653-01	TCGA-12-3653-01	1.06
TCGA-27-1832-01	TCGA-27-1832-01	1.041
TCGA-02-0007-01	TCGA-02-0007-01	1.038
TCGA-32-2616-01	TCGA-32-2616-01	0.9815
TCGA-41-2571-01	TCGA-41-2571-01	0.954
TCGA-02-0317-01	TCGA-02-0317-01	0.9012
TCGA-26-1443-01	TCGA-26-1443-01	0.897
TCGA-28-5204-01	TCGA-28-5204-01	0.8924
TCGA-32-2615-01	TCGA-32-2615-01	0.8858
TCGA-32-2498-01	TCGA-32-2498-01	0.8676
TCGA-06-0412-01	TCGA-06-0412-01	0.8648
TCGA-06-0241-01	TCGA-06-0241-01	0.8615
TCGA-16-1063-01	TCGA-16-1063-01	0.8477
TCGA-19-1387-01	TCGA-19-1387-01	0.8457
TCGA-28-5208-01	TCGA-28-5208-01	0.8453
TCGA-06-0875-01	TCGA-06-0875-01	0.8444
TCGA-12-5299-01	TCGA-12-5299-01	0.8271
TCGA-27-2526-01	TCGA-27-2526-01	0.8259
TCGA-27-1838-01	TCGA-27-1838-01	0.8211
TCGA-32-2632-01	TCGA-32-2632-01	0.8168
TCGA-06-5418-01	TCGA-06-5418-01	0.7984
TCGA-28-1746-01	TCGA-28-1746-01	0.7956000000000001
TCGA-08-0529-01	TCGA-08-0529-01	0.7917
TCGA-12-0826-01	TCGA-12-0826-01	0.7885
TCGA-15-1449-01	TCGA-15-1449-01	0.7878
TCGA-12-1090-01	TCGA-12-1090-01	0.7738
TCGA-06-0206-01	TCGA-06-0206-01	0.7718000000000002
TCGA-06-0149-01	TCGA-06-0149-01	0.7706
TCGA-12-3646-01	TCGA-12-3646-01	0.7688
TCGA-28-1757-01	TCGA-28-1757-01	0.7661
TCGA-41-2575-01	TCGA-41-2575-01	0.7648
TCGA-12-3644-01	TCGA-12-3644-01	0.7635
TCGA-06-2564-01	TCGA-06-2564-01	0.7559
TCGA-08-0354-01	TCGA-08-0354-01	0.7544000000000001
TCGA-32-4210-01	TCGA-32-4210-01	0.7514
TCGA-12-0773-01	TCGA-12-0773-01	0.7479
TCGA-16-1055-01	TCGA-16-1055-01	0.7465
TCGA-06-0184-01	TCGA-06-0184-01	0.7415
TCGA-19-2619-01	TCGA-19-2619-01	0.7405999999999999
TCGA-12-0654-01	TCGA-12-0654-01	0.7402
TCGA-14-0813-01	TCGA-14-0813-01	0.7253
TCGA-14-1453-01	TCGA-14-1453-01	0.7183
TCGA-12-1091-01	TCGA-12-1091-01	0.7176
TCGA-06-0174-01	TCGA-06-0174-01	0.7152
TCGA-14-2555-01	TCGA-14-2555-01	0.7148
TCGA-14-1034-02	TCGA-14-1034-02	0.7136
TCGA-32-4211-01	TCGA-32-4211-01	0.7134
