sample	samples	_primary_site	_study	_sample_type	DFNA5
GTEX-145LU-0011-R9b-SM-5SI66	GTEX-145LU-0011-R9b-SM-5SI66	Brain	GTEX	Normal Tissue	12.32
GTEX-139UW-0011-R9b-SM-5LZYT	GTEX-139UW-0011-R9b-SM-5LZYT	Brain	GTEX	Normal Tissue	12.17
GTEX-131XW-0011-R9a-SM-5N9EO	GTEX-131XW-0011-R9a-SM-5N9EO	Brain	GTEX	Normal Tissue	12
GTEX-13N1W-0011-R9b-SM-5MR4R	GTEX-13N1W-0011-R9b-SM-5MR4R	Brain	GTEX	Normal Tissue	12
GTEX-13PLJ-0011-R9b-SM-5O9DV	GTEX-13PLJ-0011-R9b-SM-5O9DV	Brain	GTEX	Normal Tissue	12
GTEX-14ABY-0011-R9a-SM-5PNZK	GTEX-14ABY-0011-R9a-SM-5PNZK	Brain	GTEX	Normal Tissue	11.94
GTEX-12126-0011-R9b-SM-5BC6P	GTEX-12126-0011-R9b-SM-5BC6P	Brain	GTEX	Normal Tissue	11.93
GTEX-13RTJ-0011-R9a-SM-5Q5AY	GTEX-13RTJ-0011-R9a-SM-5Q5AY	Brain	GTEX	Normal Tissue	11.9
GTEX-13FXS-0011-R9a-SM-5K7UI	GTEX-13FXS-0011-R9a-SM-5K7UI	Brain	GTEX	Normal Tissue	11.81
GTEX-13PVQ-0011-R9b-SM-5LU3B	GTEX-13PVQ-0011-R9b-SM-5LU3B	Brain	GTEX	Normal Tissue	11.76
GTEX-147GR-0011-R9a-SM-5S2UY	GTEX-147GR-0011-R9a-SM-5S2UY	Brain	GTEX	Normal Tissue	11.7
GTEX-ZVZQ-0011-R9a-SM-51MRH	GTEX-ZVZQ-0011-R9a-SM-51MRH	Brain	GTEX	Normal Tissue	11.65
GTEX-13S7M-0011-R9a-SM-5O9DW	GTEX-13S7M-0011-R9a-SM-5O9DW	Brain	GTEX	Normal Tissue	11.56
GTEX-13N2G-0011-R9b-SM-5MR4E	GTEX-13N2G-0011-R9b-SM-5MR4E	Brain	GTEX	Normal Tissue	11.53
GTEX-139UC-0011-R9a-SM-5K7W7	GTEX-139UC-0011-R9a-SM-5K7W7	Brain	GTEX	Normal Tissue	11.51
GTEX-131YS-0011-R9b-SM-5EQLY	GTEX-131YS-0011-R9b-SM-5EQLY	Brain	GTEX	Normal Tissue	11.5
GTEX-ZE9C-0011-R9a-SM-4WWCY	GTEX-ZE9C-0011-R9a-SM-4WWCY	Brain	GTEX	Normal Tissue	11.5
GTEX-13OVL-0011-R9a-SM-5P9GX	GTEX-13OVL-0011-R9a-SM-5P9GX	Brain	GTEX	Normal Tissue	11.47
GTEX-QDT8-0011-R9A-SM-5SI8J	GTEX-QDT8-0011-R9A-SM-5SI8J	Brain	GTEX	Normal Tissue	11.47
GTEX-11ONC-0011-R9b-SM-5NQ8J	GTEX-11ONC-0011-R9b-SM-5NQ8J	Brain	GTEX	Normal Tissue	11.46
GTEX-11ZUS-0011-R9b-SM-5BC76	GTEX-11ZUS-0011-R9b-SM-5BC76	Brain	GTEX	Normal Tissue	11.45
GTEX-Q2AG-0011-R9A-SM-2HMJ6	GTEX-Q2AG-0011-R9A-SM-2HMJ6	Brain	GTEX	Normal Tissue	11.41
GTEX-ZAB4-0011-R9a-SM-4SOKG	GTEX-ZAB4-0011-R9a-SM-4SOKG	Brain	GTEX	Normal Tissue	11.39
GTEX-13PL6-0011-R9b-SM-5O9CH	GTEX-13PL6-0011-R9b-SM-5O9CH	Brain	GTEX	Normal Tissue	11.34
GTEX-14BIL-0011-R9a-SM-5SI7A	GTEX-14BIL-0011-R9a-SM-5SI7A	Brain	GTEX	Normal Tissue	11.34
GTEX-13NZA-0011-R9b-SM-5MR5I	GTEX-13NZA-0011-R9b-SM-5MR5I	Brain	GTEX	Normal Tissue	11.31
GTEX-148VJ-0011-R9b-SM-5SI77	GTEX-148VJ-0011-R9b-SM-5SI77	Brain	GTEX	Normal Tissue	11.3
GTEX-YFC4-0011-R9a-SM-4SOK4	GTEX-YFC4-0011-R9a-SM-4SOK4	Brain	GTEX	Normal Tissue	11.28
GTEX-13JUV-0011-R9a-SM-5LZX3	GTEX-13JUV-0011-R9a-SM-5LZX3	Brain	GTEX	Normal Tissue	11.27
GTEX-13SLX-0011-R9b-SM-5SI6X	GTEX-13SLX-0011-R9b-SM-5SI6X	Brain	GTEX	Normal Tissue	11.27
GTEX-YJ89-0011-R9a-SM-4SOK7	GTEX-YJ89-0011-R9a-SM-4SOK7	Brain	GTEX	Normal Tissue	11.22
GTEX-X4EP-0011-R9B-SM-4QASI	GTEX-X4EP-0011-R9B-SM-4QASI	Brain	GTEX	Normal Tissue	11.15
GTEX-11ZVC-0011-R9a-SM-57WC5	GTEX-11ZVC-0011-R9a-SM-57WC5	Brain	GTEX	Normal Tissue	11.14
GTEX-12WSH-0011-R9b-SM-5LZUG	GTEX-12WSH-0011-R9b-SM-5LZUG	Brain	GTEX	Normal Tissue	11.12
GTEX-139T4-0011-R9b-SM-5HL6S	GTEX-139T4-0011-R9b-SM-5HL6S	Brain	GTEX	Normal Tissue	11.05
GTEX-NL4W-0011-R9a-SM-2I3G1	GTEX-NL4W-0011-R9a-SM-2I3G1	Brain	GTEX	Normal Tissue	11.04
GTEX-RVPU-0011-R9A-SM-3NM8E	GTEX-RVPU-0011-R9A-SM-3NM8E	Brain	GTEX	Normal Tissue	11.04
GTEX-14BIN-0011-R9a-SM-5SI76	GTEX-14BIN-0011-R9a-SM-5SI76	Brain	GTEX	Normal Tissue	11.03
GTEX-13FTY-0011-R9b-SM-5KM2U	GTEX-13FTY-0011-R9b-SM-5KM2U	Brain	GTEX	Normal Tissue	11.01
GTEX-OHPN-0011-R9A-SM-4DXUH	GTEX-OHPN-0011-R9A-SM-4DXUH	Brain	GTEX	Normal Tissue	11
GTEX-RNOR-0011-R9A-SM-2TF52	GTEX-RNOR-0011-R9A-SM-2TF52	Brain	GTEX	Normal Tissue	11
GTEX-NPJ7-0011-R9a-SM-2TC5R	GTEX-NPJ7-0011-R9a-SM-2TC5R	Brain	GTEX	Normal Tissue	10.92
GTEX-13O1R-0011-R9b-SM-5KM33	GTEX-13O1R-0011-R9b-SM-5KM33	Brain	GTEX	Normal Tissue	10.91
GTEX-13CZV-0011-R9a-SM-5LZXT	GTEX-13CZV-0011-R9a-SM-5LZXT	Brain	GTEX	Normal Tissue	10.88
GTEX-QDT8-0011-R9A-SM-32PKH	GTEX-QDT8-0011-R9A-SM-32PKH	Brain	GTEX	Normal Tissue	10.85
GTEX-OHPN-0011-R9A-SM-2YUMN	GTEX-OHPN-0011-R9A-SM-2YUMN	Brain	GTEX	Normal Tissue	10.79
GTEX-Y8DK-0011-R1A-SM-4RGLO	GTEX-Y8DK-0011-R1A-SM-4RGLO	Brain	GTEX	Normal Tissue	10.77
GTEX-11WQK-0011-R9b-SM-5BC6N	GTEX-11WQK-0011-R9b-SM-5BC6N	Brain	GTEX	Normal Tissue	10.76
GTEX-R55E-0011-R9A-SM-2TC6C	GTEX-R55E-0011-R9A-SM-2TC6C	Brain	GTEX	Normal Tissue	10.74
GTEX-Q2AG-2926-SM-2HMJ3	GTEX-Q2AG-2926-SM-2HMJ3	Brain	GTEX	Normal Tissue	10.71
GTEX-12WSD-0011-R9a-SM-5GU6W	GTEX-12WSD-0011-R9a-SM-5GU6W	Brain	GTEX	Normal Tissue	10.7
GTEX-QMR6-0011-R8A-SM-32PKJ	GTEX-QMR6-0011-R8A-SM-32PKJ	Brain	GTEX	Normal Tissue	10.64
GTEX-XLM4-0011-R9A-SM-4AT45	GTEX-XLM4-0011-R9A-SM-4AT45	Brain	GTEX	Normal Tissue	10.6
GTEX-139UC-0011-R11a-SM-5KM3J	GTEX-139UC-0011-R11a-SM-5KM3J	Brain	GTEX	Normal Tissue	10.55
GTEX-QVUS-0011-R8A-SM-3GAD7	GTEX-QVUS-0011-R8A-SM-3GAD7	Brain	GTEX	Normal Tissue	10.52
GTEX-12ZZY-0011-R10b-SM-5HL7W	GTEX-12ZZY-0011-R10b-SM-5HL7W	Brain	GTEX	Normal Tissue	10.5
GTEX-N7MS-0011-R2a-SM-2HML6	GTEX-N7MS-0011-R2a-SM-2HML6	Brain	GTEX	Normal Tissue	10.49
GTEX-12WSD-0011-R6b-SM-5P9JU	GTEX-12WSD-0011-R6b-SM-5P9JU	Brain	GTEX	Normal Tissue	10.48
GTEX-13X6J-0011-R3b-SM-5P9K5	GTEX-13X6J-0011-R3b-SM-5P9K5	Brain	GTEX	Normal Tissue	10.48
GTEX-TSE9-0011-R9A-SM-3DB7Q	GTEX-TSE9-0011-R9A-SM-3DB7Q	Brain	GTEX	Normal Tissue	10.48
GTEX-X585-0011-R2B-SM-46MVF	GTEX-X585-0011-R2B-SM-46MVF	Brain	GTEX	Normal Tissue	10.47
GTEX-11ONC-0011-R1a-SM-57WD4	GTEX-11ONC-0011-R1a-SM-57WD4	Brain	GTEX	Normal Tissue	10.44
GTEX-NPJ8-1526-SM-26GMY	GTEX-NPJ8-1526-SM-26GMY	Brain	GTEX	Normal Tissue	10.43
GTEX-X585-0011-R8A-SM-46MUX	GTEX-X585-0011-R8A-SM-46MUX	Brain	GTEX	Normal Tissue	10.43
