sample	DFNA5 (average)
TCGA-04-1655-01A	0.093
TCGA-5X-AA5U-01A	-0.1511
TCGA-09-2056-01B	0.2208
TCGA-30-1714-01A	0.3024
TCGA-24-2280-01A	0.1743
TCGA-25-1316-01A	0.1943
TCGA-25-2393-01A	0.1407
TCGA-13-1485-01A	0.3405
TCGA-24-1426-01A	0.2463
TCGA-25-2392-01A	0.3755
TCGA-61-2102-01A	0.7584
TCGA-61-2003-01A	0.537
TCGA-04-1648-01A	0.2216
TCGA-23-1111-01A	0.5386
TCGA-24-1550-01A	0.1959
TCGA-59-2348-01A	0.215
TCGA-24-1418-01A	0.2162
TCGA-61-2012-01A	-0.2503
TCGA-31-1959-01A	0.3241
TCGA-61-1733-01A	0.1494
TCGA-24-1424-01A	1.331
TCGA-31-1953-01A	0.123
TCGA-13-0911-01A	-0.0186
TCGA-04-1331-01A	0.13939591463950118
TCGA-24-2293-01A	0.2873
TCGA-29-1763-01A	0.0848
TCGA-30-1891-01A	0.17390000000000003
TCGA-13-1509-01A	0.0942
TCGA-61-1900-01A	0.0511
TCGA-09-1673-01A	0.939
TCGA-24-1434-01A	-0.2223
TCGA-24-2254-01A	-0.5391
TCGA-10-0927-01A	0.1373
TCGA-25-1320-01A	0.4158
TCGA-61-1995-01A	-0.0396
TCGA-23-1116-01A	0.30529999999999996
TCGA-13-0765-01A	0.144
TCGA-24-1422-01A	0.0877
TCGA-61-1998-01A	0.0416
TCGA-31-1950-01A	0.012099999999999998
TCGA-24-0970-01B	0.4977
TCGA-61-2113-01A	0.3968
TCGA-29-1711-01A	-0.6843999999999999
TCGA-25-2398-01A	-0.0024000000000000002
TCGA-13-0886-01A	0.5172
TCGA-23-1809-01A	0.1774
TCGA-24-2267-01A	0.0964
TCGA-61-2110-01A	0.6908
TCGA-25-2401-01A	0.0648
TCGA-13-1489-01A	0.7767
TCGA-24-2024-01A	0.2218
TCGA-24-1843-01A	-0.3585
TCGA-13-1507-01A	0.0808
TCGA-61-2008-01A	-0.4542
TCGA-61-1919-01A	0.1445
TCGA-24-2036-01A	0.1379
TCGA-25-1313-01A	0.2727
TCGA-24-1551-01A	0.0008
TCGA-13-0883-01A	0.3021
TCGA-09-2053-01C	0.2436
TCGA-13-0720-01A	0.1827
TCGA-25-2409-01A	0.102
TCGA-13-0768-01A	-0.022599999999999995
TCGA-29-1768-01A	0.1049
TCGA-13-1405-01A	0.202
TCGA-61-1737-01A	0.1393
TCGA-24-1474-01A	0.3595
TCGA-29-1695-01A	0.2716
TCGA-24-1428-01A	0.2724
TCGA-09-0366-01A	0.05160000000000001
TCGA-29-1774-01A	-0.058
TCGA-59-2350-01A	0.2262
TCGA-24-1470-01A	0.1053
TCGA-23-1114-01B	-0.0152
TCGA-29-1781-01A	-0.5207
TCGA-20-0991-01A	0.3269
TCGA-24-1846-01A	-0.549
TCGA-09-0369-01A	0.1963
TCGA-23-2077-01A	0.2225
TCGA-04-1332-01A	0.0981
TCGA-24-1847-01A	-0.6887
TCGA-09-1670-01A	0.2964
TCGA-13-0908-01B	0.0503
TCGA-13-0795-01A	-0.1072
TCGA-29-1705-01A	0.1246
TCGA-24-2281-01A	-0.1225
TCGA-59-2354-01A	-0.4599
TCGA-29-1694-01A	0.1638
TCGA-30-1857-01A	0.07819999999999999
TCGA-20-0987-01A	0.0717
TCGA-24-1842-01A	-0.1743
TCGA-25-2042-01A	-0.3435
TCGA-24-1464-01A	-0.6142
TCGA-24-2288-01A	0.2518
TCGA-57-1993-01A	-0.3674
TCGA-61-1736-01B	0.1329
TCGA-25-1315-01A	0.2024
TCGA-24-1435-01A	-0.5894
TCGA-29-1691-01A	-0.4993
TCGA-24-1603-01A	0.21329999999999996
TCGA-57-1994-01A	-0.0107
TCGA-25-2404-01A	-0.052
TCGA-24-2289-01A	0.4958
TCGA-24-0966-01A	0.1175
TCGA-04-1361-01A	-0.3273
TCGA-61-1738-01A	0.0895
TCGA-25-2391-01A	-0.6753
TCGA-24-1425-01A	-0.3438
TCGA-24-1427-01A	-0.861
TCGA-61-2111-01A	-0.0528
TCGA-13-1495-01A	0.1665
TCGA-61-1911-01A	0.2226
TCGA-29-1777-01A	0.1585
TCGA-04-1357-01A	0.14109999999999998
